title,price,closing_date,result,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,url
23-Years-Owned 1985 Toyota Land Cruiser FJ60,37500,2021-12-05,sold,13216,665,28,32,new york,1985,fj60,163000,2F,manual,blue,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-99/
1984 Toyota Land Cruiser FJ60,16000,2021-12-01,reserve not met,8550,525,41,11,oregon,1984,fj60,183000,2F,manual,red,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-66/
1988 Toyota Land Cruiser FJ62,45000,2021-11-30,sold,14381,921,12,53,california,1988,fj62,127000,3F-E,automatic,beige,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-80/
1987 Toyota Land Cruiser FJ60,36050,2021-11-22,sold,11187,703,41,42,indiana,1987,fj60,182000,2F,manual,silver,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-92/
No Reserve: 1985 Toyota Land Cruiser FJ60,32250,2021-11-21,sold,12312,843,48,33,arizona,1985,fj60,92000,2F,manual,red,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-98/
1984 Toyota Land Cruiser FJ60,48550,2021-11-20,sold,9054,594,35,40,georgia,1984,fj60,99000,2F,manual,beige,https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-61/
1989 Toyota Land Cruiser FJ62,46500,2021-11-19,sold,8722,586,38,34,mississippi,1989,fj62,156000,3F-E,automatic,gray,https://bringatrailer.com/listing/1989-toyota-land-cruiser-23/
1986 Toyota Land Cruiser FJ60,29500,2021-11-15,sold,7942,560,27,20,nevada,1986,fj60,221000,2F,manual,beige,https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-41/
1989 Toyota Land Cruiser FJ62,45317,2021-11-14,sold,16575,855,60,34,arkansas,1989,fj62,118000,3F-E,automatic,beige,https://bringatrailer.com/listing/1989-toyota-land-cruiser-24/
No Reserve: V8-Powered 1987 Toyota Land Cruiser FJ60 5-Speed,32109,2021-11-14,sold,12217,832,35,35,wyoming,1987,fj60,146000,Other(Swapped),manual,red,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-90/
1987 Toyota Land Cruiser FJ60,42500,2021-11-13,sold,17965,1013,63,43,arizona,1987,fj60,144000,2F,manual,tan,https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-89/
1989 Toyota Land Cruiser FJ62,31000,2021-11-12,sold,7648,606,14,37,north carolina,1989,fj62,176000,3F-E,automatic,brown,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-79/
1989 Toyota Land Cruiser FJ62,35850,2021-11-07,sold,13473,924,21,39,texas,1989,fj62,89000,3F-E,automatic,blue,https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-108/
5.7L Vortec-Powered 1985 Toyota Land Cruiser FJ60,24250,2021-11-07,sold,7600,558,27,11,alabama,1985,fj60,197000,Other(Swapped),automatic,brown,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-88/
1985 Toyota Land Cruiser FJ60,38750,2021-11-05,sold,11208,694,27,27,texas,1985,fj60,161000,2F,manual,beige,https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-96/
1988 Toyota Land Cruiser FJ62,23000,2021-11-03,reserve not met,7137,570,14,13,california,1988,fj62,245000,3F-E,automatic,red,https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-77/
