title,price,sell_date,no_views,no_watchers,no_comments,no_bids,seller_state,year,series,miles,engine,trans,exterior,interior,misc,url
48k-Mile 1985 Toyota Land Cruiser FJ60,"49,000",1/11/2021,"16,759",933,39,21,"madison, alabama 35758",1985,fj60,48k,4.2-liter 2f inline-six,manual,nan,nan,"['chassis: jt3fj60g9f1129062', '48k miles shown', '4.2-liter 2f inline-six', '4-speed manual transmission', '2-speed transfer case', '15"" wheels w/31"" tires', 'roof basket', 'driving lights', 'aftermarket stereo', 'weber carburetor conversion', 'emissions components removed', 'new air conditioning compressor & drier', 'partial service records', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-59/
V8-Powered 1985 Toyota Land Cruiser FJ60 5-Speed,"33,500",1/11/2021,"28,000",968,46,17,"salt lake city, utah 84102",1985,fj60,153k,5.7-liter v8,manual,repainted blue with rhino-lined lowers,gray patterned cloth upholstery,"['chassis: jt3fj60g9f1128879', '153k miles shown, tmu', '5.7-liter v8', 'h55f five-speed manual transmission', 'dual-range transfer case', 'repainted blue with rhino-lined lowers', 'gray patterned cloth upholstery', '15"" american racing wheels', 'four-wheel disc brakes', 'bilstein shocks', 'arb front bumper', 'air conditioning', 'jvc cd stereo']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-68/
1986 Toyota Land Cruiser FJ62 5-Speed,"33,500",1/8/2021,"15,828",860,56,29,"virginia beach, virginia 23456",1986,fj62,95k,3f 4.0l inline-six,manual,red exterior,brown & tan interior,"['chassis: fj62059973', '153k kilometers (~95k miles) shown', '3f 4.0l inline-six', '5-speed manual transmission', 'dual-range transfer case', 'red exterior', 'brown & tan interior', 'safari snorkel', 'gamiviti roof rack', 'pioneer touch screen stereo', 'backup camera', 'ome 2.5"" lift', '33"" bfgoodrich ko2 tires', 'air conditioning ']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-28/
No Reserve: 1981 Toyota Land Cruiser FJ60 Project,"11,500",1/4/2021,"18,573",792,34,52,"berkeley, california 94710",1981,fj60,204k,4.2-liter inline-six,manual,repainted in blue,tan cloth & brown vinyl,"['chassis: jt3fj60g1b0002001', '204k miles', '4.2-liter inline-six', 'four-speed manual transmission', 'two-speed transfer case', 'repainted in blue', 'tan cloth & brown vinyl', 'top-end rebuild in 2019', 'service records since 2012', 'accident-free carfax report']",https://bringatrailer.com/listing/1981-toyota-land-cruiser-fj60-5/
1988 Toyota Land Cruiser FJ62,"52,000",12/31/2020,"15,655",621,59,43,"sandpoint, idaho 83864",1988,fj62,158k,4.0-liter 3f-e inline-six,automatic,light blue & dark gray ,gray upholstery,"['chassis: jt3fj62g0j0085867', '158k miles shown', '4.0-liter 3f-e inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'light blue & dark gray ', 'gray upholstery', '15"" chrome wheels', 'kyb shocks ', 'air conditioning', 'factory am/fm cassette stereo', 'partial service records ', 'carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-53/
350-Powered 1990 Toyota Land Cruiser FJ62,"18,000",12/24/2020,"13,450",652,32,17,"portland, oregon 97225",1990,fj62,39k,350ci gm v8,automatic,repainted in black ,two-tone leather seats ,"['chassis: jt3fj62g2l1118204', '39k miles shown, tmu', '350ci gm v8', '700r4 automatic transmission ', 'two-speed transfer case ', 'repainted in black ', 'two-tone leather seats ', '33"" tires on american racing wheels ', '4plusproducts rear bumper', 'aftermarket front bumper w/winch ', 'edelbrock carburetor ', 'clean carfax report ']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-36/
1985 Toyota Land Cruiser FJ60,"53,000",12/18/2020,"13,776",623,49,31,"klamath falls, oregon 97601",1985,fj60,82k,4.2-liter 2f inline-six,manual,repainted silver metallic,gray striped cloth interior,"['chassis: jt3fj60g7f1127567', '82k miles shown', '4.2-liter 2f inline-six', '4-speed manual gearbox', '2-speed transfer case', 'repainted silver metallic', 'gray striped cloth interior', 'air conditioning ', 'am/fm radio', 'rear heater', 'chrome 15"" wheels', 'accident-free carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-71/
1986 Toyota Land Cruiser HJ61,"7,600",12/15/2020,"11,668",425,19,4,"tacoma, washington 98407",1986,hj61,183k,4.0-liter 12h-t turbodiesel inline-six,automatic,gold w/tri-color decals ,nan,"['chassis: hj61003519', '296k kilometers (~183k miles) shown', '4.0-liter 12h-t turbodiesel inline-six', 'four-speed automatic transmission', 'two-speed transfer case ', 'high-roof body ', 'gold w/tri-color decals ', 'two-speed transfer case', 'air conditioning ']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-11/
32k-Mile 1989 Toyota Land Cruiser FJ62,"76,500",12/14/2020,"33,315","1,223",83,46,"miami beach, florida 33139",1989,fj62,32k,4.0l straight-six,automatic,white paint,gray cloth upholstery,"['chassis: jt3fj62g6k1104403', '32k miles shown', '4.0l straight-six', '4-speed automatic transmission', 'dual-range transfer case', 'white paint', 'gray cloth upholstery', '15"" chrome wheels', 'old man emu lift & shocks', 'air conditioning', 'cassette stereo', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-18/
22-Years-Owned 1989 Toyota Land Cruiser FJ62,"27,750",12/11/2020,"11,135",659,61,61,"la canada flintridge, california 91011",1989,fj62,389k,4.0-liter inline-six,automatic,white exterior,gray cloth upholstery,"['chassis: jt3fj62g3k1110563', '389k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'white exterior', 'gray cloth upholstery', '15"" polished wheels', 'brush guard and running boards', 'air conditioning', 'pioneer cd stereo', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-56/
V8-Powered 1985 Toyota Land Cruiser FJ60,"18,000",12/10/2020,"10,674",464,14,8,"asheville, north carolina 28806",1985,fj60,189k,350ci general motors v8,manual,repaint in beige,tan and brown interior,"['chassis: jt3fj60g8f1130266', '189k miles shown, tmu', '350ci general motors v8', 'four-speed manual gearbox', 'advance adapters overdrive unit', 'dual-range transfer case', 'repaint in beige', 'tan and brown interior', 'aftermarket 15"" wheels', 'lifted suspension', 'fitech fuel injection system']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-67/
1987 Toyota Land Cruiser FJ60,"30,500",12/7/2020,"11,215",616,36,26,"raleigh, north carolina 27614",1987,fj60,163k,4.2-liter inline-six,manual,refinished in silver metallic,reupholstered gray vinyl interior,"['chassis: jt4fj60v0h1137404', '163k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'two-speed transfer case', 'refinished in silver metallic', 'reupholstered gray vinyl interior', '2.5"" old man emu suspension lift', 'recently replaced bfgoodrich 33"" tires', 'r134a air conditioning ', 'holley sniper fuel injection', 'bluetooth-capable sound system', 'roof rack', 'rock sliders', 'recently replaced bumpers', 'driving lights', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-61/
No Reserve: 1985 Toyota Land Cruiser FJ60 5-Speed,"18,800",12/3/2020,"14,235",692,43,33,"eugene, oregon 97401",1985,fj60,400k,4.2l inline-six,manual,metallic tan w/white roof,brown interior,"['chassis: jt3fj60g4f1130006', '400k miles shown', '4.2l inline-six', 'h55f 5-speed manual', '2-speed transfer case', 'metallic tan w/white roof', 'brown interior', 'scheel-mann vario seats', 'cool cruisers of texas lift kit', 'aftermarket 16"" wheels w/mud tires', 'steel front/rear bumpers', 'warn zeon 10,000-pound winch', 'australian-market interior accessories', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-66/
1988 Toyota Land Cruiser FJ62,"39,000",12/1/2020,"10,155",558,27,21,"torrance, california 90503",1988,fj62,170k,4.0-liter inline-six,automatic,white exterior,gray interior,"['chassis: jt3fj62g3j0082493', '170k miles shown', '4.0-liter inline-six', '4-speed automatic transmission', 'dual-range transfer case', 'white exterior', 'gray interior', '31"" bfgoodrich ko2 tires', 'air conditioning', 'power windows & locks', 'kenwood stereo ', 'polk audio speakers', 'carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-54/
1985 Toyota Land Cruiser FJ60,"21,800",11/30/2020,"9,947",594,33,29,"roswell, georgia 30075",1985,fj60,126k,4.2-liter inline-six,manual,black over tan patterned cloth,nan,"['chassis: jt3fj60g6f1131531', '126k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'black over tan patterned cloth', 'aftermarket front bumper', 'auxiliary lights', 'air conditioning', 'sony cd stereo', 'recent service', 'accident-free carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-64/
No Reserve: 1986 Toyota Land Cruiser FJ60,"23,000",11/25/2020,"9,071",663,41,34,"temecula, california 92592",1986,fj60,184k,4.2-liter inline-six,manual,repaint in blue,striped gray cloth,"['chassis: jt3fj60g6g1134575', '184k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'repaint in blue', 'striped gray cloth', '2.5"" old man emu suspension lift', 'recent valve adjustment', 'recent tune-up', 'clean carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-27/
1988 Toyota Land Cruiser FJ62,"26,500",11/24/2020,"12,699",752,34,19,"boise, idaho 83702",1988,fj62,154k,4.0-liter inline-six,automatic,beige metallic over beige,nan,"['chassis: jt3fj62g8j0075345', '154k miles shown', '4.0-liter inline-six', 'four-speed automatic transmisison', 'two-speed transfer case', 'beige metallic over beige', '15"" chrome wheels', '2"" old man emu lift', 'air conditioning', 'service records', 'accident-free carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-49/
1987 Toyota Land Cruiser FJ60,"16,000",11/23/2020,"7,787",472,23,2,"bend, oregon 97703",1987,fj60,172k,4.2l inline-six,manual,dark blue metallic,gray cloth interior,"['chassis: jt3fj60g6h1138014', '172k miles shown', '4.2l inline-six', '4-speed manual gearbox', '2-speed transfer case', 'dark blue metallic', 'gray cloth interior', 'howell fuel injection', 'aftermarket cd head unit', 'window sticker', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-60/
1990 Toyota Land Cruiser FJ62,"28,500",11/16/2020,"11,494",655,45,25,"kingman, arizona 86401",1990,fj62,192k,4.0-liter inline-six,automatic,dark metallic gray over patterned cloth,nan,"['chassis: jt3fj62g5l1116074', '192k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'two-speed transfer case', 'dark metallic gray over patterned cloth', '15"" chrome-finished wheels', 'trailer hitch receiver', 'air conditioning', 'sony stereo', 'recent services', 'spare parts', 'clean carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-33/
Vortec-Powered 1989 Toyota Land Cruiser FJ62,"42,000",11/12/2020,"14,787",794,83,37,"clayton, north carolina 27520",1989,fj62,280k,5.3l vortec v8,automatic,metallic tan,tan cloth interior,"['chassis: jt3fj62g9k1113483', '280k miles shown', '5.3l vortec v8', '4l60e 4-speed automatic transmission', 'metallic tan', 'tan cloth interior', '3"" ome lift', 'aftermarket bumpers & winch', 'rock sliders and snorkel', '38-gallon fuel tank', 'roof rack w/awning', 'arb compressor & rear locker', 'dual batteries', 'rebuilt transmission in 2020', 'records from 2011', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-52/
1989 Toyota Land Cruiser FJ62 4-Speed,"13,000",11/9/2020,"9,478",572,23,10,"knoxville, tennessee 37938",1989,fj62,189k,4.0l inline-six,manual,freeborn red,striped gray cloth interior,"['chassis: jt3fj62g0k1108124', '189k miles shown', '4.0l inline-six', '4-speed manual transmission', '2-speed transfer case', 'freeborn red', 'striped gray cloth interior', 'chrome 15"" wheels', 'air conditioning', 'sony cd player', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-54/
Vortec-Powered 1987 Toyota Land Cruiser FJ60,"54,000",11/5/2020,"11,153",556,53,28,"cologne, minnesota 55322",1987,fj60,164k,5.3-liter vortec v8,automatic,refinished in dark blue metallic,gray leather interior,"['chassis: jt3fj60g6h1139115', '164k miles shown', '5.3-liter vortec v8', 'four-speed 4l60e automatic transmission', 'dual-range transfer case', 'refinished in dark blue metallic', 'gray leather interior', 'heated front seats', 'r134a air conditioning', '16"" wheels', 'removed 15"" stock wheels included', 'window sticker', 'clean autocheck report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-56/
Original-Owner 1989 Toyota Land Cruiser FJ62,"25,000",11/2/2020,"8,993",579,23,22,"spotsylvania, virginia 22553-3822",1989,fj62,238k,4.0l 3f-e inline-six,automatic,dark gray metallic over patterned cloth,nan,"['chassis: jt3fj62g2k1101532', '238k miles shown', 'original owner', '4.0l 3f-e inline-six', 'four-speed automatic transmission', 'two-speed transfer case', 'dark gray metallic over patterned cloth', 'air conditioning', 'power locks & windows', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-48/
1985 Toyota Land Cruiser FJ60,"30,000",10/29/2020,"10,735",626,56,33,"sandpoint, idaho 83864",1985,fj60,118k,4.2-liter inline-six,manual,beige metallic,brown interior,"['chassis: jt3fj60g7f1128881', '118k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'two-speed transfer case', 'beige metallic', 'brown interior', '15"" chrome wheels', 'old man emu suspension', 'carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-62/
Vortec-Powered 1990 Toyota Land Cruiser FJ62,"71,000",10/29/2020,"26,230","1,038",50,28,"fort worth, texas 76177",1990,fj62,148k,6.0-liter gm vortec v8,automatic,repaint in metallic gray in 2016,gray vinyl upholstery,"['chassis: jt3fj62g9l1120287', '148k miles shown', '6.0-liter gm vortec v8', 'four-speed automatic transmission', 'dual-range transfer case', 'repaint in metallic gray in 2016', 'gray vinyl upholstery', 'air conditioning', 'black rock 17"" wheels', 'warn m8000-s winch', 'white knuckle rock sliders', 'arb roof rack', 'arb air locker system', 'pioneer touchscreen head unit', 'refurbished 2016-2017', 'service records', 'carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-35/
1988 Toyota Land Cruiser FJ62,"19,000",10/23/2020,"9,793",485,33,15,"north vancouver, british columbia, canada",1988,fj62,246k,rebuilt 4.0-liter inline-six,automatic,refinished in warm gray metallic,gray cloth & vinyl interior,"['chassis: jt3fj62g4j0089405', '246k miles shown', 'rebuilt 4.0-liter inline-six', 'four-speed automatic transmission', 'refinished in warm gray metallic', 'gray cloth & vinyl interior', '15″ chrome wheels', 'aisin locking front hubs', 'transmission oil cooler', 'kenwood stereo', 'power accessories', 'recent service records', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-35/
No Reserve: 1985 Toyota Land Cruiser FJ60,"14,000",10/20/2020,"11,938",613,21,7,"chesterfield, missouri 63005",1985,fj60,266k,4.2l 2f inline-6,manual,metallic beige,brown interior,"['chassis: jt3fj60gxf1129264', '266k miles', '4.2l 2f inline-6', 'four-speed manual', 'two-speed transfer case', 'metallic beige', 'brown interior', 'old man emu suspension', '33"" bfg mud-terrain tires', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-61/
1983 Toyota Land Cruiser FJ60,"15,000",10/19/2020,"9,291",588,43,15,"coeur d alene, idaho 83815",1983,fj60,167k,4.2-liter 2f inline-six,manual,white over brown & tan,nan,"['chassis: jt3fj60gxd0067402', '167k miles shown', '4.2-liter 2f inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'white over brown & tan', 'pioneer cassette player', 'air conditioning', 'new clutch & carburetor in 2019', 'saginaw power steering pump', 'smog pump delete kit', ""owner's manual"", 'clean carfax report']",https://bringatrailer.com/listing/1983-toyota-land-cruiser-fj60-23/
Vortec-Powered 1988 Toyota Land Cruiser FJ62,"80,000",10/16/2020,"35,474",886,102,44,"phoenix, arizona 85021",1988,fj62,9k,6.0-liter gm lq4 v8,automatic,avalanche gray over gray tweed and vinyl,nan,"['chassis: jt3fj62g0j0096240', '9k miles shown, tmu', '6.0-liter gm lq4 v8', '4l80e four-speed automatic transmission', 'toyota hf2av dual-range transfer case', 'avalanche gray over gray tweed and vinyl', '3"" lift', 'icon 2.5 adjustable shocks', 'four-wheel disc brakes', 'go fast campers roof top tent', 'led lighting', '4x4labs bumpers and rock sliders', 'warn winch', '38-gallon fuel tank', '4.88:1 front and rear axles', 'speedhut gauges', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-47/
1988 Toyota Land Cruiser HJ61,"14,500",10/15/2020,"9,239",414,34,23,"morton, illinois 61550",1988,hj61,160k,4.0-liter 12h-t turbodiesel inline-six,manual,nan,nan,"['chassis: hj61010005', '258k kilometers (~160k miles) shown', '4.0-liter 12h-t turbodiesel inline-six', 'h55f five-speed manual transmission', 'two-speed transfer case', 'high-roof body', 'power take-off winch', 'aftermarket rear bumper w/tire carrier', 'air conditioning', 'led light bar']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-hj61-7/
1989 Toyota Land Cruiser FJ62,"22,250",10/14/2020,"11,909",712,60,25,"encinitas, california 92024",1989,fj62,268k,4.0-liter inline-six,automatic,metallic beige over brown,nan,"['chassis: jt3fj62g9k0097341', '268k miles', '4.0-liter inline-six', 'four-speed automatic transmission', 'two-speed transfer case', 'manually locking front hubs', 'metallic beige over brown', 'polished 15"" wheels', 'fold-down rear bench', 'air conditioning', 'power windows, mirrors, and door lock', 'am/fm cassette stereo', 'clean carfax report']",https://bringatrailer.com/listing/1989-toyota-land-cruiser-fj62-50/
No Reserve: 1988 Toyota Land Cruiser FJ62,"15,750",10/13/2020,"9,263",603,21,17,"hesperia, california 92345",1988,fj62,247k,4.0-liter inline-six,automatic,white over gray vinyl & cloth,nan,"['chassis: jt3fj62g8j0075684', '247k miles shown', '4.0-liter inline-six', 'four-speed automatic transmission', 'dual-range transfer case', 'white over gray vinyl & cloth', 'air conditioning', 'aftermarket stereo', 'spare parts', 'repair manuals', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-50/
1985 Toyota Land Cruiser FJ60,"23,250",10/12/2020,"12,363",737,33,28,"sarasota, florida 34231",1985,fj60,186k,4.2-liter inline-six,manual,metallic gray over gray cloth,nan,"['chassis: jt3fj60gxf1129104', '186k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'two-speed transfer case', 'metallic gray over gray cloth', 'repainted in 2019', 'reupholstered front seats', 'aftermarket 15"" steel wheels', 'locking front hubs', 'front brush guard w/auxiliary lights', 'recent carburetor rebuild', 'fuel pump, a/c compressor replaced 2020', 'partial service records', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-58/
1987 Toyota Land Cruiser FJ60,"20,500",10/5/2020,"17,069",835,23,24,"evanston, illinois 60201",1987,fj60,133k,4.2-liter 2f inline-six,manual,red over gray cloth,nan,"['chassis: jt3fj60g6h1135730', '133k miles shown', '4.2-liter 2f inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'red over gray cloth', '15"" polished wheels', 'air conditioning', 'alpine cd stereo', 'carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-57/
Vortec-Powered 1985 Toyota Land Cruiser FJ60 w/Trailer,"40,000",10/2/2020,"23,566","1,071",32,15,"columbia, south carolina 29209",1985,fj60,205k,6.0-liter vortec v8,manual,refinished in blue w/black bed liner,nan,"['chassis: jt3fj60g6f1129133', '205k miles shown', '6.0-liter vortec v8', 'toyota h55f five-speed manual transmission', 'dual-range transfer case', 'fj80 full-floating rear axle w/e-lock', 'refinished in blue w/black bed liner', 'old man emu 2.5″ lift', '17"" pro comp extreme beadlock wheels', 'steel bumpers w/brush bar & carriers', 'warn winch w/roller fairlead', 'roof rack w/arb rooftop tent', 'aluminum radiator', 'corbeau front seats', 'aftermarket stereo', 'adjustable pintle hitch', 'matching m1102 trailer', 'build records']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-60/
30-Years-Owned 50k-Mile 1988 Toyota Land Cruiser FJ62,"38,250",10/2/2020,"22,096",855,35,36,"luther, michigan 49656",1988,fj62,50k,4.0l 3f-e inline-six,automatic,dark metallic gray over gray cloth/vinyl,nan,"['chassis: jt3fj62g9j0088802', '50k miles shown', '4.0l 3f-e inline-six', '4-speed automatic transmission', '2-speed transfer case', 'dark metallic gray over gray cloth/vinyl', 'cassette radio', '15"" chrome wheels', 'hand throttle', 'longterm current ownership', 'clean carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-fj62-45/
Restored 1986 Toyota Land Cruiser FJ60,"48,500",10/1/2020,"17,988",789,64,23,"hattiesburg, mississippi 39402",1986,fj60,118k,carbureted 4.2l inline-six,manual,beige metallic w/ brown & tan interior,nan,"['chassis: jt3fj60g5g1133918', 'body-off refurbishment in 2020', '118k miles shown', 'carbureted 4.2l inline-six', '4-speed manual gearbox', 'dual-range transfer case', 'beige metallic w/ brown & tan interior', 'panasonic bluetooth stereo', '15"" wheels w/ 31"" tires', 'service records from 1980s through 2010s', 'refurbishment receipts & photos', 'accident-free carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-24/
1985 Toyota Land Cruiser FJ60,"26,000",9/25/2020,"8,275",490,36,18,"louisville, kentucky 40206",1985,fj60,154k,4.2-liter 2f inline-six,manual,repainted in silver,nan,"['chassis: jt3fj60g6f1132680', '154k miles shown', '4.2-liter 2f inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'repainted in silver', 'old man emu lift kit', 'aftermarket front bumper w/warn winch', 'air conditioning', 'kenwood excelon head unit', 'clean carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-63/
1985 Toyota Land Cruiser FJ60,"45,000",9/24/2020,"18,900",613,35,9,"klamath falls, oregon 97601",1985,fj60,82k,carbureted 4.2-liter 2f inline-six,manual,refinished in silver metallic,striped cloth,"['chassis: jt3fj60g7f1127567', '82k miles shown', 'carbureted 4.2-liter 2f inline-six', 'four-speed manual gearbox', 'dual-range transfer case', 'four-wheel drive', 'refinished in silver metallic', 'striped cloth', 'air conditioning', 'am/fm radio', 'rear passenger heater', 'chrome-finished 15"" wheels', 'locking front hubs', '$5.5k in recent receipts', 'accident-free carfax report']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-51/
Vortec-Powered 1990 Toyota Land Cruiser FJ62,"70,000",9/21/2020,"28,954","1,033",74,50,"thibodaux, louisiana 70301",1990,fj62,117k,5.3-liter lc9 v8,automatic,repainted in white in 2018,gray cloth,"['chassis: jt3fj62g8l1121298', '117k miles shown, tmu', '5.3-liter lc9 v8', 'four-speed 4l65e automatic transmission', 'custom driveshafts', 'rebuilt front & rear axles', 'rebuilt two-speed transfer case', 'repainted in white in 2018', 'gray cloth', 'refurbished frame', 'old man emu lift kit', 'fox racing shocks', 'alpine stereo', 'power accessories', 'air conditioning', 'service & build records', 'carfax report']",https://bringatrailer.com/listing/1990-toyota-land-cruiser-fj62-34/
1987 Toyota Land Cruiser FJ60,"20,000",9/16/2020,"10,248",648,19,19,"belgrade, montana 59714",1987,fj60,126k,4.2-liter 2f inline-six,manual,silver over striped gray cloth,nan,"['chassis: jt3fj60g2h1138897', '126k miles shown', '4.2-liter 2f inline-six', 'four-speed manual transmission', 'two-speed transfer case', 'silver over striped gray cloth', 'factory 15"" wheels', 'locking front hubs', 'air conditioning', 'front axle refurbishment june 2018', 'clutch replaced june 2018', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-51/
1987 Toyota Land Cruiser FJ60,"20,000",9/14/2020,"8,359",600,36,3,"belgrade, montana 59714",1987,fj60,208k,overhauled 4.2-liter 2f inline-six,manual,blue exterior,reupholstered gray interior,"['chassis: jt3fj60g4h1138724', '208k miles shown', 'overhauled 4.2-liter 2f inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'blue exterior', 'reupholstered gray interior', 'kenwood excelon head unit', 'hertz speakers', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-52/
1987 Toyota Land Cruiser FJ60,"24,750",9/9/2020,"6,716",751,38,38,"topanga, california 90290",1987,fj60,226k,4.2-liter inline-six,manual,refinished metallic brown over gray cloth,nan,"['chassis: jt3fj60g2h1139676', '226k miles shown', '4.2-liter inline-six', 'four-speed manual transmission', 'dual-range transfer case', 'refinished metallic brown over gray cloth', 'old man emu shocks', '32"" bfg all-terrain tires', 'aftermarket wheels', 'front runner rack & cargo drawer', ""manufacturer's literature"", 'service records', 'accident-free carfax report']",https://bringatrailer.com/listing/1987-toyota-land-cruiser-fj60-48/
1988 Toyota Land Cruiser FJ62,"20,250",9/8/2020,"1,568",576,26,25,"raleigh, north carolina 27606",1988,fj62,158k,4.0-liter inline-six,automatic,red over gray cloth,nan,"['chassis: jt3fj62g5j0088893', '158k miles shown', '4.0-liter inline-six', 'four-speed automatic gearbox', 'two-speed transfer case', 'four-wheel drive', 'red over gray cloth', 'power windows', 'air conditioning', 'am/fm/cassette stereo', 'chrome 15"" wheels', 'carfax report']",https://bringatrailer.com/listing/1988-toyota-land-cruiser-31/
1986 Toyota Land Cruiser FJ60,"15,875",9/7/2020,"1,839",477,11,6,"gainesville, virginia 20155",1986,fj60,201k,4.2-liter inline-six,manual,nan,nan,"['chassis: jt3fj60gxg1135017', '201k miles indicated', '4.2-liter inline-six', '4-speed manual transmission', '2-speed transfer case', 'cosmetic refurbishment in 2007', 'aluminum wheels', 'aftermarket bumpers', 'grille guard & side steps', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-21/
Vortec-Powered 1984 Toyota Land Cruiser FJ60,"26,250",9/3/2020,"1,800",553,59,35,"charlottesville, virginia 22901",1984,fj60,204k,5.7-liter vortec v8,manual,desert tan over tan cloth,nan,"['chassis: jt3fj60g7e0083168', '204k miles shown', '5.7-liter vortec v8', 'five-speed manual transmission', 'dual-range transfer case', 'desert tan over tan cloth', '17"" aluminum wheels', 'arb front bumper', 'rock sliders', 'spring-over lift', 'gm axles', 'eaton electric locker', 'sony cd player w/morel speakers', 'service records', 'clean carfax report']",https://bringatrailer.com/listing/1984-toyota-land-cruiser-fj60-48/
Restored 1986 Toyota Land Cruiser FJ60,"61,000",9/2/2020,"2,460",810,65,16,"san jose, california 95124",1986,fj60,198k,numbers-matching carbureted 4.2l inline-six,manual,red w/ custom gray interior,nan,"['chassis: jt3fj60g2g1133617', '198k miles shown', 'body-off restoration in 2020', 'numbers-matching carbureted 4.2l inline-six', 'four-speed manual gearbox', 'dual-range transfer case', 'red w/ custom gray interior', 'r134a air conditioning', 'bluetooth stereo', '15"" wheels w/ 33"" tires', '2.5"" suspension lift', 'window sticker & build sheet', 'receipts and restoration photos', 'clean carfax report']",https://bringatrailer.com/listing/1986-toyota-land-cruiser-fj60-26/
1985 Toyota Land Cruiser FJ60 4-Speed,"24,500",8/20/2020,"9,352",585,24,12,"hot springs national park, arkansas 71901",1985,fj60,176k,4.2 liter 2f inline-six,manual,recent repaint in beige metallic,refurbished two-tone interior,"['chassis: jt3fj60g8f1132101', '176k miles shown', '4.2 liter 2f inline-six', 'four-speed manual gearbox', 'two-speed transfer case', 'four-wheel drive', 'recent repaint in beige metallic', 'refurbished two-tone interior', 'trollhole carburetor', 'aftermarket headers', 'refurbished air conditioning', 'vintage-look stereo', 'thule roof bars', 'front knuckles rebuilt', 'replacement 30"" bfgoodrich tires', 'clean carfax report', 'tool bag & bottle jack']",https://bringatrailer.com/listing/1985-toyota-land-cruiser-fj60-54/
